image_name,hair
ISIC_0015719,1
ISIC_0068279,1
ISIC_0074542,1
ISIC_0076742,1
ISIC_0078712,1
ISIC_0080512,1
ISIC_0080752,1
ISIC_0080817,1
ISIC_0082348,1
ISIC_0082934,1
ISIC_0083035,1
ISIC_0085902,1
ISIC_0086709,1
ISIC_0091016,1
ISIC_0092726,1
ISIC_0094701,1
ISIC_0099474,1
ISIC_0109568,1
ISIC_0109703,1
ISIC_0109869,1
ISIC_0113820,1
ISIC_0114225,1
ISIC_0124849,1
ISIC_0136526,1
ISIC_0147642,1
ISIC_0149527,1
ISIC_0153589,1
ISIC_0154872,1
ISIC_0155012,1
ISIC_0155273,1
ISIC_0157923,1
ISIC_0159568,1
ISIC_0159746,1
ISIC_0160455,1
ISIC_0163639,1
ISIC_0163812,1
ISIC_0164145,1
ISIC_0164329,1
ISIC_0164512,1
ISIC_0165945,1
ISIC_0166935,1
ISIC_0168399,1
ISIC_0168418,1
ISIC_0170008,1
ISIC_0170696,1
ISIC_0171235,1
ISIC_0171983,1
ISIC_0172865,1
ISIC_0172959,1
ISIC_0174903,1
ISIC_0174983,1
ISIC_0176577,1
ISIC_0177304,1
ISIC_0179056,1
ISIC_0179267,1
ISIC_0181017,1
ISIC_0181445,1
ISIC_0183256,1
ISIC_0184688,1
ISIC_0185051,1
ISIC_0185547,1
ISIC_0185918,1
ISIC_0188955,1
ISIC_0189333,1
ISIC_0191871,1
ISIC_0194550,1
ISIC_0194914,1
ISIC_0196273,1
ISIC_0196502,1
ISIC_0196559,1
ISIC_0197584,1
ISIC_0200999,1
ISIC_0202023,1
ISIC_0203016,1
ISIC_0204580,1
ISIC_0206079,1
ISIC_0207349,1
ISIC_0208378,1
ISIC_0212774,1
ISIC_0214037,1
ISIC_0219493,1
ISIC_0221351,1
ISIC_0222150,1
ISIC_0224429,1
ISIC_0224681,1
ISIC_0225245,1
ISIC_0229459,1
ISIC_0229510,1
ISIC_0229659,1
ISIC_0230516,1
ISIC_0232785,1
ISIC_0234038,1
ISIC_0234146,1
ISIC_0234894,1
ISIC_0236531,1
ISIC_0236739,1
ISIC_0236778,1
ISIC_0238002,1
ISIC_0239843,1
ISIC_0241109,1
ISIC_0242646,1
ISIC_0242801,1
ISIC_0243160,1
ISIC_0243235,1
ISIC_0245258,1
ISIC_0249560,1
ISIC_0249982,1
ISIC_0250839,1
ISIC_0253367,1
ISIC_0253871,1
ISIC_0254447,1
ISIC_0254686,1
ISIC_0255843,1
ISIC_0255997,1
ISIC_0258061,1
ISIC_0258065,1
ISIC_0259179,1
ISIC_0260316,1
ISIC_0262276,1
ISIC_0262618,1
ISIC_0265576,1
ISIC_0266468,1
ISIC_0266738,1
ISIC_0267054,1
ISIC_0268179,1
ISIC_0268557,1
ISIC_0268633,1
ISIC_0268784,1
ISIC_0275783,1
ISIC_0277164,1
ISIC_0277727,1
ISIC_0278126,1
ISIC_0280208,1
ISIC_0280404,1
ISIC_0281179,1
ISIC_0281291,1
ISIC_0281658,1
ISIC_0282281,1
ISIC_0282681,1
ISIC_0283463,1
ISIC_0283511,1
ISIC_0283541,1
ISIC_0285095,1
ISIC_0287784,1
ISIC_0290881,1
ISIC_0291882,1
ISIC_0292158,1
ISIC_0293416,1
ISIC_0294733,1
ISIC_0295507,1
ISIC_0297595,1
ISIC_0299520,1
ISIC_0299741,1
ISIC_0303196,1
ISIC_0305879,1
ISIC_0305928,1
ISIC_0307909,1
ISIC_0308888,1
ISIC_0309317,1
ISIC_0310231,1
ISIC_0311412,1
ISIC_0312662,1
ISIC_0313507,1
ISIC_0315631,1
ISIC_0316025,1
ISIC_0316788,1
ISIC_0317682,1
ISIC_0318642,1
ISIC_0319491,1
ISIC_0319715,1
ISIC_0322004,1
ISIC_0322371,1
ISIC_0324380,1
ISIC_0324600,1
ISIC_0331947,1
ISIC_0332865,1
ISIC_0333051,1
ISIC_0333102,1
ISIC_0333246,1
ISIC_0334153,1
ISIC_0337541,1
ISIC_0339922,1
ISIC_0341159,1
ISIC_0342608,1
ISIC_0343860,1
ISIC_0350117,1
ISIC_0351188,1
ISIC_0355222,1
ISIC_0355705,1
ISIC_0356904,1
ISIC_0358285,1
ISIC_0358490,1
ISIC_0360367,1
ISIC_0361341,1
ISIC_0362039,1
ISIC_0362190,1
ISIC_0362853,1
ISIC_0363161,1
ISIC_0363576,1
ISIC_0363695,1
ISIC_0365032,1
ISIC_0366021,1
ISIC_0368894,1
ISIC_0370932,1
ISIC_0371772,1
ISIC_0372350,1
ISIC_0374231,1
ISIC_0375775,1
ISIC_0377184,1
ISIC_0377965,1
ISIC_0378118,1
ISIC_0378169,1
ISIC_0379551,1
ISIC_0379624,1
ISIC_0379863,1
ISIC_0381980,1
ISIC_0384107,1
ISIC_0384214,1
ISIC_0384664,1
ISIC_0385609,1
ISIC_0391694,1
ISIC_0392759,1
ISIC_0392942,1
ISIC_0394664,1
ISIC_0396184,1
ISIC_0397464,1
ISIC_0397620,1
ISIC_0397658,1
ISIC_0398005,1
ISIC_0398069,1
ISIC_0398140,1
ISIC_0398435,1
ISIC_0399416,1
ISIC_0401116,1
ISIC_0401528,1
ISIC_0402674,1
ISIC_0403893,1
ISIC_0404809,1
ISIC_0404840,1
ISIC_0405554,1
ISIC_0405652,1
ISIC_0407040,1
ISIC_0409276,1
ISIC_0410824,1
ISIC_0410826,1
ISIC_0412915,1
ISIC_0412939,1
ISIC_0413472,1
ISIC_0413901,1
ISIC_0414816,1
ISIC_0415496,1
ISIC_0416856,1
ISIC_0418746,1
ISIC_0422299,1
ISIC_0423483,1
ISIC_0423722,1
ISIC_0424324,1
ISIC_0426592,1
ISIC_0428482,1
ISIC_0429310,1
ISIC_0430837,1
ISIC_0437284,1
ISIC_0437567,1
ISIC_0437828,1
ISIC_0437978,1
ISIC_0439527,1
ISIC_0440291,1
ISIC_0441120,1
ISIC_0441415,1
ISIC_0442290,1
ISIC_0444603,1
ISIC_0445267,1
ISIC_0445347,1
ISIC_0449983,1
ISIC_0450108,1
ISIC_0452388,1
ISIC_0453714,1
ISIC_0454594,1
ISIC_0455262,1
ISIC_0455456,1
ISIC_0455625,1
ISIC_0456090,1
ISIC_0456905,1
ISIC_0457030,1
ISIC_0458106,1
ISIC_0458561,1
ISIC_0459035,1
ISIC_0460815,1
ISIC_0460833,1
ISIC_0461128,1
ISIC_0461634,1
ISIC_0462956,1
ISIC_0463308,1
ISIC_0463832,1
ISIC_0464315,1
ISIC_0465018,1
ISIC_0467100,1
ISIC_0467724,1
ISIC_0469542,1
ISIC_0470210,1
ISIC_0470731,1
ISIC_0472490,1
ISIC_0472513,1
ISIC_0473607,1
ISIC_0474406,1
ISIC_0474481,1
ISIC_0476762,1
ISIC_0477201,1
ISIC_0478536,1
ISIC_0479264,1
ISIC_0480590,1
ISIC_0481059,1
ISIC_0481453,1
ISIC_0481702,1
ISIC_0482585,1
ISIC_0483289,1
ISIC_0483649,1
ISIC_0484171,1
ISIC_0485753,1
ISIC_0485815,1
ISIC_0485881,1
ISIC_0485996,1
ISIC_0486498,1
ISIC_0488413,1
ISIC_0489267,1
ISIC_0490442,1
ISIC_0491818,1
ISIC_0492473,1
ISIC_0492862,1
ISIC_0494257,1
ISIC_0494865,1
ISIC_0495405,1
ISIC_0495675,1
ISIC_0497817,1
ISIC_0498040,1
ISIC_0499801,1
ISIC_0500253,1
ISIC_0502016,1
ISIC_0502582,1
ISIC_0508937,1
ISIC_0509247,1
ISIC_0509406,1
ISIC_0509567,1
ISIC_0510785,1
ISIC_0510835,1
ISIC_0512005,1
ISIC_0513392,1
ISIC_0515794,1
ISIC_0517121,1
ISIC_0518018,1
ISIC_0518352,1
ISIC_0519719,1
ISIC_0520202,1
ISIC_0523031,1
ISIC_0524046,1
ISIC_0525687,1
ISIC_0526291,1
ISIC_0526705,1
ISIC_0526973,1
ISIC_0527350,1
ISIC_0528495,1
ISIC_0529262,1
ISIC_0529784,1
ISIC_0533498,1
ISIC_0534674,1
ISIC_0536454,1
ISIC_0536865,1
ISIC_0539038,1
ISIC_0539380,1
ISIC_0541345,1
ISIC_0541724,1
ISIC_0542222,1
ISIC_0543351,1
ISIC_0544886,1
ISIC_0545237,1
ISIC_0545322,1
ISIC_0546209,1
ISIC_0546225,1
ISIC_0547769,1
ISIC_0552442,1
ISIC_0552911,1
ISIC_0552953,1
ISIC_0554135,1
ISIC_0558046,1
ISIC_0558485,1
ISIC_0559314,1
ISIC_0559530,1
ISIC_0559541,1
ISIC_0560916,1
ISIC_0561104,1
ISIC_0561846,1
ISIC_0563533,1
ISIC_0564568,1
ISIC_0565080,1
ISIC_0565836,1
ISIC_0566341,1
ISIC_0566530,1
ISIC_0566804,1
ISIC_0567676,1
ISIC_0567814,1
ISIC_0568867,1
ISIC_0571637,1
ISIC_0574880,1
ISIC_0576951,1
ISIC_0581293,1
ISIC_0584566,1
ISIC_0586396,1
ISIC_0587664,1
ISIC_0587860,1
ISIC_0588322,1
ISIC_0589744,1
ISIC_0593591,1
ISIC_0594068,1
ISIC_0594534,1
ISIC_0595676,1
ISIC_0596043,1
ISIC_0596524,1
ISIC_0599605,1
ISIC_0599755,1
ISIC_0599918,1
ISIC_0600084,1
ISIC_0600866,1
ISIC_0602697,1
ISIC_0602889,1
ISIC_0604062,1
ISIC_0604088,1
ISIC_0605180,1
ISIC_0606583,1
ISIC_0607205,1
ISIC_0608613,1
ISIC_0611793,1
ISIC_0613014,1
ISIC_0614259,1
ISIC_0615053,1
ISIC_0615970,1
ISIC_0620199,1
ISIC_0621550,1
ISIC_0621866,1
ISIC_0622112,1
ISIC_0623284,1
ISIC_0623386,1
ISIC_0623444,1
ISIC_0623642,1
ISIC_0624498,1
ISIC_0624747,1
ISIC_0624779,1
ISIC_0625629,1
ISIC_0626815,1
ISIC_0628352,1
ISIC_0629437,1
ISIC_0631689,1
ISIC_0633013,1
ISIC_0633126,1
ISIC_0633835,1
ISIC_0634028,1
ISIC_0634521,1
ISIC_0636481,1
ISIC_0636587,1
ISIC_0637043,1
ISIC_0637539,1
ISIC_0637965,1
ISIC_0638652,1
ISIC_0638889,1
ISIC_0639414,1
ISIC_0639415,1
ISIC_0640806,1
ISIC_0640895,1
ISIC_0641173,1
ISIC_0646515,1
ISIC_0647450,1
ISIC_0651760,1
ISIC_0652203,1
ISIC_0652867,1
ISIC_0653785,1
ISIC_0654269,1
ISIC_0654636,1
ISIC_0654672,1
ISIC_0656395,1
ISIC_0656543,1
ISIC_0657596,1
ISIC_0658963,1
ISIC_0659600,1
ISIC_0659878,1
ISIC_0660449,1
ISIC_0661120,1
ISIC_0661284,1
ISIC_0661926,1
ISIC_0664113,1
ISIC_0667108,1
ISIC_0668772,1
ISIC_0668924,1
ISIC_0672985,1
ISIC_0673183,1
ISIC_0674717,1
ISIC_0674746,1
ISIC_0675785,1
ISIC_0675972,1
ISIC_0678196,1
ISIC_0678299,1
ISIC_0679553,1
ISIC_0680651,1
ISIC_0682366,1
ISIC_0683986,1
ISIC_0685123,1
ISIC_0686467,1
ISIC_0686839,1
ISIC_0687593,1
ISIC_0687788,1
ISIC_0687823,1
ISIC_0688622,1
ISIC_0689091,1
ISIC_0690237,1
ISIC_0690264,1
ISIC_0692839,1
ISIC_0693902,1
ISIC_0694037,1
ISIC_0694559,1
ISIC_0695014,1
ISIC_0695029,1
ISIC_0695059,1
ISIC_0695428,1
ISIC_0696150,1
ISIC_0696303,1
ISIC_0696408,1
ISIC_0696556,1
ISIC_0696797,1
ISIC_0697138,1
ISIC_0697622,1
ISIC_0697691,1
ISIC_0697951,1
ISIC_0697953,1
ISIC_0698821,1
ISIC_0699098,1
ISIC_0699205,1
ISIC_0700213,1
ISIC_0700768,1
ISIC_0700870,1
ISIC_0701449,1
ISIC_0701455,1
ISIC_0702042,1
ISIC_0702174,1
ISIC_0702317,1
ISIC_0702876,1
ISIC_0703540,1
ISIC_0704233,1
ISIC_0704618,1
ISIC_0704859,1
ISIC_0705313,1
ISIC_0705586,1
ISIC_0705641,1
ISIC_0706512,1
ISIC_0706891,1
ISIC_0707244,1
ISIC_0707446,1
ISIC_0707619,1
ISIC_0708003,1
ISIC_0708542,1
ISIC_0708552,1
ISIC_0708600,1
ISIC_0708747,1
ISIC_0709380,1
ISIC_0709934,1
ISIC_0710064,1
ISIC_0710501,1
ISIC_0711790,1
ISIC_0711803,1
ISIC_0711820,1
ISIC_0712254,1
ISIC_0712270,1
ISIC_0712615,1
ISIC_0713368,1
ISIC_0714147,1
ISIC_0714807,1
ISIC_0715115,1
ISIC_0715335,1
ISIC_0715702,1
ISIC_0715869,1
ISIC_0716541,1
ISIC_0716674,1
ISIC_0716858,1
ISIC_0717497,1
ISIC_0717851,1
ISIC_0718834,1
ISIC_0719381,1
ISIC_0719631,1
ISIC_0719704,1
ISIC_0720915,1
ISIC_0721819,1
ISIC_0722086,1
ISIC_0722367,1
ISIC_0723505,1
ISIC_0723595,1
ISIC_0723780,1
ISIC_0725711,1
ISIC_0725958,1
ISIC_0726170,1
ISIC_0727425,1
ISIC_0727489,1
ISIC_0728350,1
ISIC_0728413,1
ISIC_0728967,1
ISIC_0729264,1
ISIC_0732102,1
ISIC_0732124,1
ISIC_0732375,1
ISIC_0732389,1
ISIC_0732636,1
ISIC_0733140,1
ISIC_0733981,1
ISIC_0734540,1
ISIC_0736508,1
ISIC_0736928,1
ISIC_0737013,1
ISIC_0737354,1
ISIC_0737399,1
ISIC_0737413,1
ISIC_0737883,1
ISIC_0738443,1
ISIC_0738510,1
ISIC_0740001,1
ISIC_0740118,1
ISIC_0740862,1
ISIC_0742607,1
ISIC_0742879,1
ISIC_0742933,1
ISIC_0743090,1
ISIC_0743096,1
ISIC_0743540,1
ISIC_0744013,1
ISIC_0744177,1
ISIC_0744553,1
ISIC_0744870,1
ISIC_0745395,1
ISIC_0745450,1
ISIC_0745718,1
ISIC_0745721,1
ISIC_0746397,1
ISIC_0747101,1
ISIC_0747812,1
ISIC_0748377,1
ISIC_0748416,1
ISIC_0750244,1
ISIC_0750683,1
ISIC_0751145,1
ISIC_0751211,1
ISIC_0751219,1
ISIC_0751582,1
ISIC_0751846,1
ISIC_0753112,1
ISIC_0753250,1
ISIC_0753336,1
ISIC_0753491,1
ISIC_0753802,1
ISIC_0754156,1
ISIC_0754233,1
ISIC_0754561,1
ISIC_0754586,1
ISIC_0754658,1
ISIC_0755331,1
ISIC_0755477,1
ISIC_0755565,1
ISIC_0755778,1
ISIC_0756080,1
ISIC_0757147,1
ISIC_0757532,1
ISIC_0757639,1
ISIC_0757818,1
ISIC_0758009,1
ISIC_0758633,1
ISIC_0758641,1
ISIC_0758704,1
ISIC_0758797,1
ISIC_0759561,1
ISIC_0759612,1
ISIC_0760028,1
ISIC_0760281,1
ISIC_0760601,1
ISIC_0761158,1
ISIC_0761472,1
ISIC_0761713,1
ISIC_0761975,1
ISIC_0762262,1
ISIC_0762367,1
ISIC_0762958,1
ISIC_0763578,1
ISIC_0765397,1
ISIC_0765568,1
ISIC_0765584,1
ISIC_0765585,1
ISIC_0765632,1
ISIC_0766666,1
ISIC_0766724,1
ISIC_0766935,1
ISIC_0767006,1
ISIC_0769469,1
ISIC_0769700,1
ISIC_0769854,1
ISIC_0770206,1
ISIC_0770723,1
ISIC_0770772,1
ISIC_0770814,1
ISIC_0770861,1
ISIC_0770935,1
ISIC_0771048,1
ISIC_0771151,1
ISIC_0771953,1
ISIC_0772833,1
ISIC_0772836,1
ISIC_0772957,1
ISIC_0773096,1
ISIC_0773193,1
ISIC_0773907,1
ISIC_0775393,1
ISIC_0776189,1
ISIC_0776193,1
ISIC_0776657,1
ISIC_0776935,1
ISIC_0777538,1
ISIC_0778477,1
ISIC_0779135,1
ISIC_0780232,1
ISIC_0781161,1
ISIC_0781336,1
ISIC_0781588,1
ISIC_0783177,1
ISIC_0784284,1
ISIC_0786170,1
ISIC_0786233,1
ISIC_0786366,1
ISIC_0786913,1
ISIC_0787229,1
ISIC_0787585,1
ISIC_0787745,1
ISIC_0788453,1
